_id,Fiscal_Year,Budget_Type,Organization_Entity,Command_Name,Pillar_Name,District_Name,Unit_Name,Feature_Category,Cost_Element,Cost_Element_Long_Name,Amount
38,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,6-Services,4098,Service contracts,1700
39,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Disciplinary Hearing Office,Disciplinary Hearing Office,Disciplinary Hearing Office,6-Services,4811,Wireless services,600
40,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1534,Alternate rate - Civilian A,3500
41,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1533,Alternate rate - Uniform,17400
42,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1505,Regular salaries - Civilian A,364000
43,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1504,Regular salaries - Uniform,4767100
44,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,550900
45,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,1-Salaries,1551,Shift Bonus - Uniform,500
46,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1583,Callback premium pay - Civilian,3400
47,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1573,Callback premium pay - Uniform,39700
48,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1571,Court premium pay - Uniform,1300
49,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1584,Lieutime premium pay - Civilian,1200
50,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professional Standards,2-Premium Pay,1574,Lieutime premium pay - Uniform,54600
51,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,1-Salaries,1515,Paid duty officers - earnings,24667000
52,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,1-Salaries,1507,Regular salaries - Civilian C,1036500
53,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,1-Salaries,1504,Regular salaries - Uniform,618200
54,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1578,Callback (Command Initiatives) - Uniform,405600
55,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1583,Callback premium pay - Civilian,1006600
56,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1593,Callback premium pay - Contract,165200
57,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1573,Callback premium pay - Uniform,600800
58,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1571,Court premium pay - Uniform,1526200
59,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1584,Lieutime premium pay - Civilian,1192900
60,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,2-Premium Pay,1594,Lieutime premium pay - Contract,194900
