_id,Fiscal_Year,Budget_Type,Organization_Entity,Command_Name,Pillar_Name,District_Name,Unit_Name,Feature_Category,Cost_Element,Cost_Element_Long_Name,Amount
244,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professionalism & Accountability,6-Services,4312,Courses / seminars,2200
245,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professionalism & Accountability,6-Services,4760,Membership fees,200
246,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professionalism & Accountability,6-Services,4770,Parking expenses,100
247,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professionalism & Accountability,6-Services,4084,Public relations / promotions,21100
248,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professionalism & Accountability,6-Services,4970,Services & rents - general,100
249,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Professionalism & Accountability (Pillar,Professionalism & Accountabilit,Professionalism & Accountability,6-Services,4811,Wireless services,2300
250,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Strategy Management,Strategy Management,Audit & Quality Assurance,1-Salaries,1505,Regular salaries - Civilian A,275200
251,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Strategy Management,Strategy Management,Strategy Management,6-Services,4312,Courses / seminars,54000
252,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Strategy Management,Strategy Management,Strategy Management,6-Services,4760,Membership fees,2500
253,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Strategy Management,Strategy Management,Strategy Management,6-Services,4770,Parking expenses,700
254,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Strategy Management,Strategy Management,Strategy Management,6-Services,4084,Public relations / promotions,2000
255,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Strategy Management,Strategy Management,Strategy Management,6-Services,4516,Repairs - technical equipment,200
256,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Strategy Management,Strategy Management,Strategy Management,6-Services,4970,Services & rents - general,200
257,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Strategy Management,Strategy Management,Strategy Management,6-Services,4811,Wireless services,6200
258,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,"Centralized Command Charges,C_N",Community Safety Centralized,"Centralized Command Charges, PRC",1-Salaries,1511,Recruits - Uniform,8170600
259,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,"Centralized Command Charges,C_N",Community Safety Centralized,"Centralized Command Charges, PRC",1-Salaries,1507,Regular salaries - Civilian C,336600
260,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,"Centralized Command Charges,C_N",Community Safety Centralized,"Centralized Command Charges, PRC",1-Salaries,1514,Temporary - short-term,660000
261,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,"Centralized Command Charges,C_N",Community Safety Centralized,"Centralized Command Charges, PRC",2-Premium Pay,1573,Callback premium pay - Uniform,5014200
262,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,"Centralized Command Charges,C_N",Community Safety Centralized,"Centralized Command Charges, PRC",2-Premium Pay,1571,Court premium pay - Uniform,4226100
263,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,"Centralized Command Charges,C_N",Community Safety Centralized,"Centralized Command Charges, PRC",2-Premium Pay,1574,Lieutime premium pay - Uniform,21663700
264,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,"Centralized Command Charges,C_N",Community Safety Centralized,"Centralized Command Charges, PRC",2-Premium Pay,1572,Overtime premium pay - Uniform,3785200
265,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,"Centralized Command Charges,C_N",Community Safety Centralized,"Centralized Command Charges, PRC",3-Benefits,1765,CPP - Civilian,19200
266,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,"Centralized Command Charges,C_N",Community Safety Centralized,"Centralized Command Charges, PRC",3-Benefits,1746,EI - Civilian,6400
267,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,"Centralized Command Charges,C_N",Community Safety Centralized,"Centralized Command Charges, PRC",3-Benefits,1776,OMERS - Civilian,29800
268,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,1-Salaries,1501,Regular salaries - Chief/Command,219200
269,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,1-Salaries,1502,Regular salaries - Civilian Sr. Officer,105600
270,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,1-Salaries,1504,Regular salaries - Uniform,19494100
271,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,219200
272,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,3-Benefits,1765,CPP - Civilian,3800
273,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,3-Benefits,1764,CPP - Uniform,538000
274,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,3-Benefits,1746,EI - Civilian,1300
275,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,3-Benefits,1744,EI - Uniform,177900
276,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,3-Benefits,1776,OMERS - Civilian,10900
277,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,3-Benefits,1773,OMERS - Uniform,2038000
278,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,4-Materials & Supplies,2999,Miscellaneous materials,100
279,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,4-Materials & Supplies,2010,Stationery and office supplies,1800
280,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,6-Services,4230,Business travel - other expenses,1800
281,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,6-Services,4255,Conferences / seminars,1800
282,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,6-Services,4312,Courses / seminars,2000
283,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,6-Services,4760,Membership fees,1200
284,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,6-Services,4770,Parking expenses,200
285,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,6-Services,4084,Public relations / promotions,2500
286,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,6-Services,4970,Services & rents - general,100
287,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,6-Services,4316,Special Events expenses,18500
288,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,Community Safety Command,Community Safety Command,Priority Response Command,6-Services,4811,Wireless services,3000
289,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,1-Salaries,1534,Alternate rate - Civilian A,5700
290,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,1-Salaries,1533,Alternate rate - Uniform,19200
291,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,1-Salaries,1532,Alternate rate - Uniform Sr. Officer,600
292,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,1-Salaries,1505,Regular salaries - Civilian A,281800
293,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,1-Salaries,1507,Regular salaries - Civilian C,329800
294,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,1-Salaries,1504,Regular salaries - Uniform,15529400
295,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,376900
296,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,1-Salaries,1554,Shift Bonus - Civilian C,3700
297,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,1-Salaries,1551,Shift Bonus - Uniform,49900
298,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,1-Salaries,1541,Statutory Holiday - Uniform,6000
299,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,2-Premium Pay,1584,Lieutime premium pay - Civilian,6700
300,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,2-Premium Pay,1582,Overtime premium pay - Civilian,400
301,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4255,Conferences / seminars,43500
302,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4441,Contracted services - Cable TV,51000
303,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4410,Contracted services - electrical,133000
304,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4424,Contracted Services - general,881200
305,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4815,Courier services,1800
306,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4311,Courses - Canadian / Ontario Police College,1383400
307,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4312,Courses / seminars,927600
308,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4419,Laundry services,80000
309,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4831,Licenses - vehicle,51100
310,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4508,Lock repairs,125000
311,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4812,Long-distance calls,18000
312,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4659,Maintenance - computer,73000
313,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4760,Membership fees,49500
314,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4995,Other expenses,2633000
315,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4083,P.E.U. - towing charges,4000
316,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4770,Parking expenses,450000
317,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4096,Personal property care,3000
318,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4515,Rental - office equipment,80000
319,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4590,Rental - other,37100
320,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4510,Rental - vehicles,732900
321,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4095,Repairs - Gas pumps / tanks,90000
322,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4077,Repairs - vehicles,203800
323,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4699,Repairs and maintenance (other),115000
324,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4141,Return of prisoners,50000
325,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4148,Rewards & Information,20000
326,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4098,Service contracts,171000
327,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4435,Service contracts,244000
328,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4970,Services & rents - general,267800
329,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4081,Shredding services,50000
330,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4810,Telephone,2618700
331,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4416,"Transfer, haulage and storage",55000
332,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4340,Tuition fees,7500
333,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4437,Washes - licensed mobile equipment,530900
334,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4804,Wireless devices,105200
335,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,6-Services,4811,Wireless services,1411300
336,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,8505,Alarm Fees,-640200
337,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,9260,Draws from Reserve Funds,-2633000
338,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,7653,IDR - Gasoline,-2694500
339,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,7652,IDR - Paid duty expenses,-1500
340,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,7650,IDR - Police,-3500000
341,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,9031,Insurance - vehicle write offs,-280000
342,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,9034,Interest charges - overdue payments,-8000
343,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,9030,Miscellaneous revenues,-608000
344,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,8504,Paid duty - administration fee,-4349900
345,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,8503,Paid duty - equipment rental,-1902600
346,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,8502,Paid duty - officers fee,-24667000
347,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,8555,Parking enforcement - indirect costs,-2211900
348,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,8519,Recoveries - Prisoner Return,-50000
349,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,9042,Revenues - other,-22500000
350,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Centralized Service Chrgs & UNS,Centralized Service Charges,Centralized Service Charges,7-Revenues,9033,Sale of vehicles,-757000
351,2023,Approved Budget,1 - Toronto Police Service,Centralized Service Charges,Reserves Group,Reserves Group,Reserves Group,7-Revenues,9270,Draws from Reserves,-8770300
352,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,"Centralized Command Charges,CHF","Centralized Command Charges,CHF","Centralized Command Charges, CHF",2-Premium Pay,1574,Lieutime premium pay - Uniform,55500
353,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1533,Alternate rate - Uniform,3300
354,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1501,Regular salaries - Chief/Command,354800
355,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1505,Regular salaries - Civilian A,204100
356,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1502,Regular salaries - Civilian Sr. Officer,292900
357,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1504,Regular salaries - Uniform,757300
358,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,372000
359,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,1-Salaries,1551,Shift Bonus - Uniform,1100
360,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,2-Premium Pay,1573,Callback premium pay - Uniform,5000
361,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,2-Premium Pay,1584,Lieutime premium pay - Civilian,10500
362,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,2-Premium Pay,1574,Lieutime premium pay - Uniform,38800
363,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,2-Premium Pay,1572,Overtime premium pay - Uniform,4600
364,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,3-Benefits,1765,CPP - Civilian,15200
365,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,3-Benefits,1764,CPP - Uniform,34200
366,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,3-Benefits,1746,EI - Civilian,5200
367,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,3-Benefits,1744,EI - Uniform,11700
368,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,3-Benefits,1776,OMERS - Civilian,55100
369,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,3-Benefits,1773,OMERS - Uniform,191900
370,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,4-Materials & Supplies,2020,Books & Magazines,200
371,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,4-Materials & Supplies,2999,Miscellaneous materials,200
372,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,4-Materials & Supplies,2010,Stationery and office supplies,13600
373,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4230,Business travel - other expenses,11400
374,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4255,Conferences / seminars,3200
375,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4815,Courier services,300
376,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4312,Courses / seminars,3200
377,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4760,Membership fees,4000
378,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4770,Parking expenses,100
379,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4084,Public relations / promotions,28300
380,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4970,Services & rents - general,300
381,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4810,Telephone,200
382,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4804,Wireless devices,1600
383,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Chief of Police,Chief of Police,Chief of Police,6-Services,4811,Wireless services,6000
384,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,1-Salaries,1534,Alternate rate - Civilian A,7200
385,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,1-Salaries,1505,Regular salaries - Civilian A,1287700
386,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,1-Salaries,1502,Regular salaries - Civilian Sr. Officer,1029500
387,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,1-Salaries,1504,Regular salaries - Uniform,794900
388,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,1-Salaries,1552,Shift Bonus - Civilian A,800
389,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,1-Salaries,1551,Shift Bonus - Uniform,1400
390,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,2-Premium Pay,1583,Callback premium pay - Civilian,12700
391,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,2-Premium Pay,1573,Callback premium pay - Uniform,43900
392,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,2-Premium Pay,1584,Lieutime premium pay - Civilian,3900
393,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,2-Premium Pay,1574,Lieutime premium pay - Uniform,35100
394,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,2-Premium Pay,1582,Overtime premium pay - Civilian,18400
395,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,2-Premium Pay,1572,Overtime premium pay - Uniform,15800
396,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,3-Benefits,1765,CPP - Civilian,68500
397,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,3-Benefits,1764,CPP - Uniform,26600
398,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,3-Benefits,1746,EI - Civilian,23300
399,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,3-Benefits,1744,EI - Uniform,9100
400,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,3-Benefits,1776,OMERS - Civilian,265000
401,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,3-Benefits,1765,CPP - Civilian,30400
402,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,3-Benefits,1764,CPP - Uniform,524400
403,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4086,Translations / interpreters,1300
404,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,3-Benefits,1746,EI - Civilian,10400
405,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,3-Benefits,1744,EI - Uniform,179400
406,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,3-Benefits,1776,OMERS - Civilian,58700
407,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,3-Benefits,1773,OMERS - Uniform,1893500
408,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,4-Materials & Supplies,2020,Books & Magazines,400
409,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,4-Materials & Supplies,2083,Fingerprint supplies,500
410,2023,Approved Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 13,4-Materials & Supplies,2082,Health & Safety supplies,200
